course_id,course_name,department,description,learning_objectives,competencies,related_jobs,related_interests,grade_level,semester,difficulty,prerequisites,credit,is_available,catalog_source,source_course_id,academic_years,offered_semesters,offering_departments,offering_department_codes,grade_levels,course_area,class_method,course_type,ncs_type,cross_department_status,online_status,recommendation_basis,prerequisite_status,completion_data_status,registration_check_required,master_match_method,linked_master_course_id
A305,3D콘텐츠제작,AI기반XR시뮬레이션콘텐츠,AA,,,,,1,1,원본 미제공,,3,True,actual_course_offerings_2026,A305,2026,1|2,AI기반XR시뮬레이션콘텐츠,30901009,1,전공,대면,일반교과,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,code,A305
A307,AI기반메타스페이스콘텐츠제작,AI기반XR시뮬레이션콘텐츠,AA,,,,,2,1,원본 미제공,,3,True,actual_course_offerings_2026,A307,2026,1|2,AI기반XR시뮬레이션콘텐츠,30900971,2,전공,대면,일반교과,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,code,A307
A318,R&DLAB,AI기반XR시뮬레이션콘텐츠,AA,,,,,2,2,원본 미제공,,3,True,actual_course_offerings_2026,A318,2026,2,AI기반XR시뮬레이션콘텐츠,30900971,2,전공,대면,일반교과,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,code,A318
A317,XR시뮬레이션기반가상LAB,AI기반XR시뮬레이션콘텐츠,AA,,,,,2,1,원본 미제공,,3,True,actual_course_offerings_2026,A317,2026,1|2,AI기반XR시뮬레이션콘텐츠,30900971,2,전공,대면,일반교과,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,code,A317
A306,실감(AR/VR)영상콘텐츠제작,AI기반XR시뮬레이션콘텐츠,AA,,,,,1,1,원본 미제공,,3,True,actual_course_offerings_2026,A306,2026,1,AI기반XR시뮬레이션콘텐츠,30901009,1,전공,대면,일반교과,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,code,A306
A316,실감형콘텐츠융합프로젝트,AI기반XR시뮬레이션콘텐츠,AA,,,,,2,2,원본 미제공,,3,True,actual_course_offerings_2026,A316,2026,2,AI기반XR시뮬레이션콘텐츠,30900971,2,전공,대면,일반교과,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,code,A316
A304,연구및기술개발방법론과연구윤리,AI기반XR시뮬레이션콘텐츠,AA,,,,,1,1,원본 미제공,,3,True,actual_course_offerings_2026,A304,2026,1|2,AI기반XR시뮬레이션콘텐츠,30901009,1,전공,원격,제작콘텐츠,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,code,A304
A308,인터렉티브콘텐츠제작,AI기반XR시뮬레이션콘텐츠,AA,,,,,1,1,원본 미제공,,3,True,actual_course_offerings_2026,A308,2026,1,AI기반XR시뮬레이션콘텐츠,30901009,1,전공,대면,일반교과,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,code,A308
G395,AI와환자안전,간호학과,개설학과 간호학과 · 영역 전공 · 교과목 구분 일반교과 · 수업방식 대면 · NCS 구분 자율과목,,,,,4,2,원본 미제공,,2,True,actual_course_offerings_2026,G395,2026,2,간호학과,30100100,4,전공,대면,일반교과,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,code,G395
C475,간호과정과비판적사고,간호학과,개설학과 간호학과 · 영역 전공 · 교과목 구분 제작콘텐츠 · 수업방식 원격 · NCS 구분 자율과목,,,,,2,1,원본 미제공,,2,True,actual_course_offerings_2026,C475,2026,1,간호학과,30100100,2,전공,원격,제작콘텐츠,자율과목,allowed,offline,교과목명·개설학과·교과구분·NCS·학년·학점·수업방식,원본 미제공,synthetic 학생 이수정보와 미연결,True,none,
