department_code,department_name
30401300,친환경건축과
30200400,유아교육과
30502300,실용음악과(3년제)
30100100,간호학과
30900994,소프트웨어융합과
30900971,AI기반XR시뮬레이션콘텐츠 (전문기술석사과정)
30901018,▶AI빅데이터전공
30901017,▶AI코딩전공
30901014,▶XR콘텐츠전공
30901003,▶메디컬스킨케어전공
30901015,▶사이버보안전공
30901002,▶성형미용전공
30901013,▶영상콘텐츠전공
30901020,▶클라우드서비스전공
30900968,건축디자인학과
30501800,공간디자인과
30502500,공연예술과(3년제)
30900989,공연예술학과
30901029,글로벌융합학과(2년제)
30901028,글로벌융합학과(3년제)
30100600,물리치료과
30900943,물리치료학과
30101400,반려동물보건과
30901000,반려동물보건학과
30901001,산업안전보건학과
30900500,서비스경영과
30900960,소프트웨어융합학과
30502000,시각디자인과
30502100,시각디자인학과
30900969,실용음악학과
30900999,안전보건과
30901012,영상미디어콘텐츠과
30900924,유아교육학과
30900970,융합서비스경영학과
30100700,의료미용과
30101300,의료미용학과
30100500,임상병리과
30900942,임상병리학과
30901027,자유전공학과(3전제)
30100400,작업치료과
30900941,작업치료학과
30500700,준오헤어디자인과
30100200,치위생과
30900916,치위생학과
30900400,항공서비스과
30900600,호텔관광과(3년제)
